sp,sp_num,cell
protco,175,1
guargu,10,1
faraoc,126,1
hybapr,146,1
ingaqu,167,1
faraoc,126,1
protco,175,1
poular,8,1
xyl1ma,83,1
protte,4,1
tet2pa,25,1
poular,8,1
pipepe,211,1
faraoc,126,1
des2pa,157,1
nectpu,181,1
ingago,133,1
pri2co,19,1
hybapr,146,1
maquco,161,1
protpa,144,1
guapst,22,1
hirttr,16,1
beilpe,9,1
guarsp,168,1
ocotce,106,1
faraoc,126,1
tet2pa,25,1
protte,4,1
virosu,2,1
socrex,182,1
calolo,45,1
pipecu,257,1
beilpe,9,1
randar,75,1
tri2tu,7,1
hirttr,16,1
oenoma,148,1
brosal,5,1
soroaf,150,1
hybapr,146,1
hybapr,146,1
tab1gu,55,1
hybapr,146,1
malmsp,152,1
ingago,133,1
pentma,173,1
acaldi,193,1
oenoma,148,1
hassfl,96,1
hybapr,146,1
sympgl,59,1
hybapr,146,1
hybapr,146,1
guarsp,168,1
tet2pa,25,1
beilpe,9,1
pentma,173,1
beilpe,9,1
tet2pa,25,1
faraoc,126,1
caseac,162,1
ast2gr,66,1
hybapr,146,1
cestme,216,1
des2pa,157,1
loncla,88,1
ocotwh,74,1
heisco,43,1
hybapr,146,1
soroaf,150,1
tab1ro,52,1
malpro,196,1
ast2gr,66,1
poular,8,1
hybapr,146,1
tachve,115,1
ingaum,188,1
poular,8,1
olmeas,178,1
pipere,197,1
brosal,5,1
brosal,5,1
unonpi,76,1
tri2tu,7,1
hybapr,146,1
hassfl,96,1
faraoc,126,1
ormoma,118,1
hybapr,146,1
acaldi,193,1
faraoc,126,1
guargu,10,1
faraoc,126,1
hybapr,146,1
hybapr,146,1
termam,113,1
pipeae,187,1
tab1ro,52,1
pipeco,240,1
tet2pa,25,1
acaldi,193,1
hassfl,96,1
tet2pa,25,1
acaldi,193,1
tet2pa,25,1
gar2in,62,1
hirttr,16,1
pipeco,240,1
apeime,30,1
protte,4,1
herrpu,165,1
tri2tu,7,1
des2pa,157,1
hybapr,146,1
des2pa,157,1
protte,4,1
hybapr,146,1
beilpe,9,1
tab1ro,52,1
chr2ar,28,1
acaldi,193,1
brosal,5,1
acaldi,193,1
picrla,159,1
calolo,45,1
cecrob,117,1
acaldi,193,1
simaam,39,1
hybapr,146,1
calolo,45,1
acalma,266,1
acalma,266,1
poular,8,1
soroaf,150,1
calolo,45,1
hybapr,146,1
ardife,145,1
soroaf,150,1
hybapr,146,1
des2pa,157,1
acaldi,193,1
calolo,45,1
hybapr,146,1
sipagu,256,1
hybapr,146,1
solaar,265,1
gar2in,62,1
herrpu,165,1
pourbi,143,1
mourmy,158,1
acaldi,193,1
acaldi,193,1
des2pa,157,1
acalma,266,1
pourbi,143,1
ingama,174,1
cordla,132,1
hybapr,146,1
calolo,45,1
tri2tu,7,1
des2pa,157,1
quaras,3,1
beilpe,9,1
hirttr,16,1
tri2tu,7,1
pourbi,143,1
tri2tu,7,1
cecrin,101,1
tab2ar,26,1
socrex,182,1
faraoc,126,1
tri2tu,7,1
faraoc,126,1
hybapr,146,1
tab1ro,52,1
pipepe,211,1
quaras,3,1
acaldi,193,1
annoac,147,1
pourbi,143,1
pourbi,143,1
cupasy,124,1
tet2pa,25,1
cupasy,124,1
acaldi,193,1
chr1ec,179,1
thevah,189,1
tachve,115,1
swars2,139,1
chr1ec,179,1
faraoc,126,1
