0,0.1,ACCGEN,ACCNIS,ACRARU,ACRRIS,ACRSCH,ACRSCI,ACTHYP,AEGCAU,AEGMON,AIXGAL,ALAARV,ALCATT,ALERUF,ALOAEG,ANACLY,ANACRE,ANAPLA,ANASTR,ANSANS,ANTCAM,ANTPRA,ANTSPI,ANTTRI,APUAPU,APUMEL,APUPAL,AQUCHR,ARDCIN,ARDPUR,ARDSPE,AREINT,ASIOTU,ATHNOC,AYTFER,AYTFUL,BOMGAR,BONBON,BOTSTE,BRACAN,BUBBUB,BUBIBI,BUROED,BUTBUT,CALALP,CALBRA,CALCAN,CAPEUR,CARCAN,CARCAR,CARCHL,CARFLA,CARSPI,CERBRA,CERFAM,CETCET,CHAALE,CHADUB,CHLHYB,CHLNIG,CICCIC,CICNIG,CINCIN,CIRAER,CIRCYA,CIRGAL,CIRPYG,CISJUN,CLAGLA,COCCOC,COLLIV,COLOEN,COLPAL,CORCOR,CORFRU,CORGAR,CORMON,CORRAX,COTCOT,CRECRE,CUCCAN,CYGCOL,CYGOLO,DELURB,DENMAJ,DENMED,DENMIN,DRYMAR,EGRALB,EGRGAR,EMBCIA,EMBCIR,EMBCIT,EMBHOR,EMBSCH,ERIRUB,FALCOL,FALNAU,FALPER,FALSUB,FALTIN,FALVES,FICHYP,FRICOE,FRIMON,FULATR,GALCHL,GALCRI,GALGAL,GARGLA,GELNIL,GRUGRU,GYPFUL,HIEPEN,HIMHIM,HIPICT,HIPPOL,HIRRUS,JYNTOR,LANCOL,LANEXC,LANMER,LANSEN,LARARG,LARCAN,LARFUS,LARMAR,LARMEL,LARMIC,LARRID,LIMLIM,LOCLUS,LOCNAE,LOXCUR,LULARB,LUSMEG,LUSSVE,MELCAL,MERAPI,MERMER,MILCAL,MILMIG,MILMIL,MONNIV,MONSAX,MONSOL,MOTALB,MOTCIN,MOTFLA,MOTIMA,MUSSTR,NEOPER,NETRUF,NUCCAR,NUMARQ,NUMPHA,NYCNYC,OENOEN,ORIORI,OTUSCO,PANBIA,PANHAL,PARATE,PARCAE,PARCRI,PARCYA,PARMAJ,PARMON,PARPAL,PASDOM,PASMON,PERAPI,PERPER,PETPET,PHAARI,PHACAR,PHACOL,PHOCHI,PHOOCH,PHOPHO,PHORUB,PHYBON,PHYCOL,PHYIBE,PHYSIB,PHYTRO,PICCAN,PICPIC,PICTRI,PICVIR,PLALEU,PLEFAL,PODCRI,PRUCOL,PRUMOD,PSIKRA,PTEALC,PTYRUP,PYRGRA,PYRPYR,PYRRAX,RALAQU,RECAVO,REGIGN,REGREG,RIPRIP,SAXRUB,SAXTOR,SCORUS,SERCIT,SERSER,SITEUR,STEALB,STEHIR,STESAN,STRALU,STRDEC,STRTUR,STUUNI,STUVUL,SULBAS,SYLATR,SYLBOR,SYLCAN,SYLCOM,SYLCON,SYLCUR,SYLHOR,SYLMEL,SYLUND,TACRUF,TADTAD,TETRAX,THRAET,TRIGLA,TRINEB,TRIOCH,TRITOT,TROTRO,TURILI,TURMER,TURPHI,TURPIL,TURTOR,TURVIS,UPUEPO,VANVAN
83100,2406200,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,16,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,13,0,0,0,0,0
99100,2418200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,12,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,1,0,0,0,0,0
105100,2414200,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,54,20,6,0,23,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,27,0,0,1,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,25,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,11,0,5,0,0,0,0,12,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,9,1,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,23,5,0,0,0,0,0
109100,2396200,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,13,0,0,6,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0,45,0,0,0,0,0,0,0,47,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,8,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,9,0,1,0,0,0,0,11,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,13,1,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,38,30,0,0,1,0,0
149100,2408200,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,33,12,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,40,0,0,0,0,0,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,15,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,9,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,21,9,0,0,1,0,0
169100,2330200,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,17,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,1,0,0,34,0,0,1,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,16,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,10,2,0,10,0,13,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,34,16,0,0,0,0,0
177100,2412200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,22,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,1,0,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,0,32,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,33,16,0,0,0,0,0
181100,2322200,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,19,0,1,1,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,17,12,0,0,0,0,0
191100,2314200,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,29,30,0,0,0,0,0,0,14,0,0,0,4,0,1,0,7,0,0,2,1,0,0,8,0,0,0,0,0,0,0,14,0,11,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,18,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,6,2,0,15,0,14,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,14,0,14,8,0,0,4,2,2
195100,2432200,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,102,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,0,8,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,33,9,0,0,0,0,0
